(51.388568, -0.425935)
(51.390389, -0.423188)
(51.402064, -0.412459)
(51.409560, -0.389886)
(51.407953, -0.378642)
(51.411915, -0.361047)
(51.391460, -0.326972)
(51.393174, -0.318732)
(51.401207, -0.309119)
(51.420587, -0.306201)
(51.427705, -0.312638)
(51.433003, -0.327229)
(51.441349, -0.330749)
(51.446004, -0.319676)
(51.452155, -0.302854)
(51.459375, -0.310664)
(51.464830, -0.320449)
(51.471567, -0.317101)
(51.475513, -0.306780)
(51.482863, -0.299056)
(51.486978, -0.288713)
(51.483825, -0.279787)
(51.480003, -0.275710)
(51.475272, -0.272663)
(51.471423, -0.265710)
(51.471450, -0.256741)
(51.475352, -0.251420)
(51.482836, -0.250089)
(51.487566, -0.243781)
(51.489651, -0.234854)
(51.487834, -0.229876)
(51.485535, -0.227087)
(51.480511, -0.225928)
(51.476101, -0.225542)
(51.472546, -0.222409)
(51.469525, -0.218246)
(51.466718, -0.211723)
(51.464632, -0.204685)
(51.463964, -0.193613)
(51.466424, -0.184343)
(51.470862, -0.180438)
(51.477918, -0.177305)
(51.481580, -0.168378)
(51.483103, -0.159667)
(51.484306, -0.153186)
(51.484119, -0.143144)
(51.483959, -0.135162)
(51.487192, -0.127523)
